fname,label
969b4f60.wav,Cello
3e2bddda.wav,Cello
54bb57af.wav,Cello
9d59a719.wav,Applause
05f2c2a6.wav,Clarinet
c0041b0c.wav,Applause
e08db496.wav,Applause
39f86ded.wav,Cello
756fc6fa.wav,Cello
9b7ef58b.wav,Applause
930d93e8.wav,Clarinet
4a28e65a.wav,Cello
b0c06255.wav,Clarinet
c206744b.wav,Applause
3b60c423.wav,Clarinet
ceba3f99.wav,Applause
5f4ede60.wav,Applause
95b961c8.wav,Clarinet
238b16a5.wav,Cello
e2fa3ed3.wav,Clarinet
8af3c40f.wav,Cello
31102711.wav,Applause
7eb959ec.wav,Clarinet
bb170558.wav,Applause
dfc4a855.wav,Clarinet
2da9e12a.wav,Cello
45243c3d.wav,Clarinet
71c6451f.wav,Clarinet
87fc1fad.wav,Applause
d87530b2.wav,Applause
71c58e84.wav,Clarinet
8585a392.wav,Clarinet
a7e15331.wav,Clarinet
71fb2237.wav,Applause
4c8cd1c8.wav,Clarinet
abd3d6f4.wav,Applause
43fd7a48.wav,Applause
600fe305.wav,Applause
9a0ad181.wav,Cello
e94c6d67.wav,Cello
9c917ad7.wav,Cello
58f8c3db.wav,Clarinet
ee972208.wav,Applause
5de123c3.wav,Clarinet
02d367e4.wav,Clarinet
ad2bb540.wav,Applause
bfd73e2b.wav,Cello
125e6ccf.wav,Cello
5689818f.wav,Cello
df0573f3.wav,Clarinet
7d4963eb.wav,Applause
c9c95706.wav,Cello
34e4d187.wav,Cello
c447910b.wav,Clarinet
a8b6ece8.wav,Cello
6ad73ffc.wav,Applause
94b5936a.wav,Cello
6ebe3f62.wav,Applause
9f0d8ba2.wav,Cello
ac35d055.wav,Cello
5d43f0e7.wav,Cello
47aa029c.wav,Cello
4bfbb74e.wav,Applause
811e1301.wav,Clarinet
70a2e253.wav,Clarinet
51f9a488.wav,Cello
0b82b3a5.wav,Clarinet
d99b648a.wav,Clarinet
cba68348.wav,Clarinet
2e1cd085.wav,Clarinet
3c713bcf.wav,Clarinet
e2c205ac.wav,Cello
5506629f.wav,Clarinet
2fc00271.wav,Clarinet
73e326ec.wav,Applause
4a90ebd4.wav,Clarinet
61c9c7ad.wav,Applause
e70c41d4.wav,Cello
e43f7db2.wav,Clarinet
d61f1a92.wav,Cello
bf9dc054.wav,Clarinet
2f84b9ec.wav,Clarinet
22bea889.wav,Cello
c71357b7.wav,Cello
b490247e.wav,Clarinet
eace95fa.wav,Cello
34dacafb.wav,Cello
7a80327b.wav,Clarinet
4bff8f32.wav,Cello
21e43f5b.wav,Applause
515a7743.wav,Cello
74cfa1eb.wav,Clarinet
743ae0f9.wav,Cello
508e8e56.wav,Cello
da2f1e87.wav,Clarinet
5a4089a3.wav,Applause
3c966bb8.wav,Cello
0c7ae294.wav,Applause
85516706.wav,Applause
b753a444.wav,Clarinet
a39ed97d.wav,Clarinet
25cc1f6a.wav,Cello
81d9f077.wav,Cello
2b315768.wav,Cello
1f81cc2b.wav,Clarinet
246ad992.wav,Cello
e0990da3.wav,Clarinet
1176bda6.wav,Cello
c7d81f1b.wav,Cello
3cbe9902.wav,Clarinet
98aeddbf.wav,Clarinet
8dde6929.wav,Applause
40c2cec1.wav,Cello
1d5a6f5f.wav,Cello
689aa181.wav,Cello
570742db.wav,Cello
011a2185.wav,Cello
d2cd80eb.wav,Cello
162276f0.wav,Clarinet
97a1d2cb.wav,Clarinet
5e4477e9.wav,Cello
20e6791a.wav,Cello
f2b78a6f.wav,Cello
dc5be9d7.wav,Cello
d910a8c7.wav,Cello
a75e8258.wav,Cello
19105b8a.wav,Clarinet
84f46494.wav,Clarinet
9c13c0f4.wav,Clarinet
d3ede893.wav,Applause
e62d770e.wav,Cello
f492ff55.wav,Applause
98d6a254.wav,Cello
e5c11a2e.wav,Clarinet
b3cee50d.wav,Cello
811bf309.wav,Cello
8ee44fb5.wav,Clarinet
ec74b3b7.wav,Cello
699385f4.wav,Cello
6ab76c9a.wav,Clarinet
9ab8ad15.wav,Applause
df6223de.wav,Applause
a6b02a43.wav,Clarinet
dc981a38.wav,Clarinet
88500b88.wav,Cello
82d58fa4.wav,Clarinet
1c2b5b18.wav,Cello
11798f57.wav,Cello
afc24d59.wav,Cello
45de3233.wav,Clarinet
238fb6b8.wav,Cello
11f7fc13.wav,Clarinet
d0f3df9a.wav,Cello
05561612.wav,Cello
41d9c342.wav,Cello
eb27071b.wav,Cello
36defe49.wav,Clarinet
da0650ea.wav,Applause
d5cd5497.wav,Clarinet
f2310f0d.wav,Clarinet
39977cdf.wav,Clarinet
8a364f26.wav,Applause
272be2e3.wav,Applause
